chrom,feat_acc,acc,CV,M,MSQ,SD,per_SD,per_M,per_MSQ,per_CV,per
5,AT5G24470,pCAMTA2-22C-mock_S1_peak_57873,-0.7740035399418104,-0.160823197163671,0.04135880449562003,0.12447772390944106,0.6980330203373236,0.17567086467001913,0.6617195496417605,0.31914467535935204,0.6980330203373236
1,AT1G63680,pCAMTA2-22C-mock_S1_peak_12653,-0.3595776292871687,-0.3461434283068422,0.13530691705750064,0.12446543334390736,0.6978550131280317,0.015063860086333496,0.9625517333452005,0.4930577188376129,0.6978550131280317
4,AT4G33080,pCAMTA2-22C-mock_S1_peak_49217,0.5611525928803148,0.2217915819656576,0.06468152892175354,0.12445892129905563,0.6977660095233857,0.9074585020693338,0.8248631569578568,0.6647011703974011,0.6977660095233857
4,AT4G09000,pCAMTA2-22C-mock_S1_peak_42965,-4.834678387858018,-0.02574184718061577,0.016151329358354793,0.12445355222766692,0.6977215077210627,0.4752124961060923,0.24082150327088248,0.04768368118908816,0.6977215077210627
5,AT5G25050,pCAMTA3-22C-cycloheximide_S6_peak_48701,2.0292302790755037,0.06133032302284322,0.019250044475803724,0.12445334850343494,0.6976770059187397,0.6544212540607894,0.31812113390592317,0.8891682613145833,0.6976770059187397
4,AT4G39380,pCAMTA2-22C-mock_S1_peak_51182,3.259692189457761,0.038176371186215724,0.01694355006644161,0.1244432189775477,0.6975435005117707,0.6076498598193227,0.26102532152552177,0.9297539050331538,0.6975435005117707
2,AT2G33260,pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_17802,-1.322293269849407,-0.0940873766407518,0.02433055746802899,0.12441110490985241,0.6971874860931868,0.31585154198745047,0.42764006942281163,0.18964443059943928,0.6971874860931868
3,AT3G63010,pCAMTA2-22C-mock_S1_peak_41196,-44.822060108557224,-0.0027753754763684382,0.015482576663541001,0.12439804642560177,0.6970094788838948,0.522562413777758,0.22382181478349872,0.006297005028703662,0.6970094788838948
1,AT1G19180,pCAMTA2-22C-mock_S1_peak_5363,0.7038358791807376,0.17668935470748304,0.04668461410178594,0.12436030731241854,0.6968314716746028,0.8555694005607227,0.7056873303368787,0.7136531529526946,0.6968314716746028
4,AT4G28005,pCAMTA2-22C-mock_S1_peak_47648,0.5500662729140109,0.22608217378273648,0.06657860334985892,0.12436017870496756,0.6967869698722798,0.9117306750923413,0.8337190156201326,0.6606070045836856,0.6967869698722798
1,AT1G49640,pCAMTA3-22C-cycloheximide_S6_peak_8285,2.7899999791436283,0.04456635275727389,0.017446626051218845,0.12434012326330174,0.6967424680699569,0.620332873481376,0.27330781896666817,0.9184949490454364,0.6967424680699569
5,AT5G56390,pCAMTA2-22C-mock_S1_peak_63816,-0.8176613419240455,-0.15206678777763505,0.038584528128285334,0.12433913375634012,0.6966979662676338,0.191780517110943,0.6335944105736282,0.304459080592764,0.6966979662676338
2,AT2G45450,pCAMTA3-22C-cycloheximide_S6_peak_22561,1.2469725055063619,0.09970996254557846,0.02540141353721073,0.12433558181940546,0.6966534644653108,0.7309198522540162,0.44842241110764985,0.8218370343998932,0.6966534644653108
5,AT5G39730,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_58338,2.9665421797837435,0.041909135613679024,0.017213135607000517,0.12432521851625589,0.6965644608606648,0.6147701481910017,0.26778959547861686,0.9225446130568288,0.6965644608606648
1,AT1G48930,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_9639,0.6184445755403891,0.20102157722787095,0.055865311955019765,0.12432070400315019,0.6965199590583419,0.8844955720706689,0.7755996617863024,0.6860175337101153,0.6965199590583419
5,AT5G15265,pCAMTA2-22C-mock_S1_peak_55474,-0.401258337688027,-0.3097961199653783,0.11142618345740699,0.12430827611950829,0.6963864536513729,0.02351920252770237,0.9414578790441013,0.477526589826888,0.6963864536513729
4,AT4G14700,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_43574,-1.1467405919149867,-0.10839789616369241,0.027201654838547376,0.1243042676090919,0.6963419518490499,0.28452227315206263,0.47917315651283876,0.2195051399581683,0.6963419518490499
2,AT2G46735,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_26772,0.6673652755297537,0.18625788538818683,0.05014299826087777,0.12430204500167658,0.6962974500467269,0.8670508655600552,0.7351475234747007,0.7025277023719461,0.6962974500467269
5,AT5G55910,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_62358,0.6251486713046435,0.1988251720246564,0.05498076867212281,0.12429529211313112,0.6962084464420809,0.8815139513150283,0.7701704419028971,0.687842107605358,0.6962084464420809
2,AT2G34020,pCAMTA3-22C-cycloheximide_S6_peak_19730,-15.514418097695934,-0.0080114517264643,0.015512936104755789,0.12429301165387506,0.696163944639758,0.5123269992434694,0.22466734902763563,0.015286369097948466,0.696163944639758
3,AT3G62980,pCAMTA3-22C-cycloheximide_S6_peak_34579,-425.73682663503405,-0.0002919295955223284,0.015446891090726392,0.12428517959852514,0.6960749410351119,0.5285256552890392,0.22284277513239287,0.00046726892439143787,0.6960749410351119
3,AT3G58770,pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_39328,-0.7745974437941572,-0.16045061986610454,0.041191073156209956,0.12428464000347259,0.696030439232789,0.176560900716479,0.6603399937697477,0.3188776645454141,0.696030439232789
4,AT4G33940,pCAMTA2-22C-mock_S1_peak_49448,-0.7994085701971042,-0.15546117794978206,0.03961295007794428,0.12427699798599286,0.6959859374304659,0.1855502647857238,0.643340305282364,0.3100663076854613,0.6959859374304659
4,AT4G33930,pCAMTA2-22C-mock_S1_peak_49448,-0.7994085701971042,-0.15546117794978206,0.03961295007794428,0.12427699798599286,0.6959859374304659,0.1855502647857238,0.643340305282364,0.3100663076854613,0.6959859374304659
4,AT4G11650,pCAMTA3-22C-mock_S4_peak_49551,-0.6586384084732565,-0.18868427843165536,0.051045961181261756,0.12427471285015029,0.695852432023497,0.1284544524053224,0.7421788082417338,0.36489252814739,0.695852432023497
