feat_acc,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-17C_S16_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=1469-gELF3-myc-elf3-1xELF4-ox-ZT10-27C_S17_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-11-27C_S15_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-17C_S12_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=4195-8-1-27C_S13_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-22-4DAG_S18_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=HDAC-27-4DAG_S19_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=gELF3myc-17C_S10_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA2-22C-mock_S1_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-cycloheximide_S6_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pCAMTA3-22C-mock_S4_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey,type=closest_bed=pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peaks_radius=1_feat=genes.gtf.cds_type=firstByKey
AT1G01790,2.62583,2.04127,2.67407,3.04098,2.5713,,2.39029,1.81531,2.1878,2.23157,2.02699,2.3046900000000003,2.12339
AT1G01800,2.31765,2.22512,2.49647,2.50434,2.95125,,3.21572,2.62212,2.42873,2.40539,2.26956,2.39449,2.12339
AT1G01810,2.31765,2.22512,2.49647,2.14657,2.95125,,3.21572,2.01701,2.42873,2.40539,2.26956,2.93331,1.99402
AT1G01820,2.77993,1.85741,3.02925,2.14657,2.68378,,1.99191,2.82062,2.06733,2.06343,2.23592,2.93331,1.98091
AT1G01830,2.77993,1.92073,2.14129,1.7888099999999998,1.85975,,3.31521,2.82062,2.70506,1.93899,2.3017,2.3046900000000003,1.90731
AT1G01840,2.09912,2.04127,2.67407,3.57762,2.71361,,3.31521,2.82062,2.91058,2.92686,2.51213,2.6639,2.40836
AT1G01860,2.16355,,2.21597,2.49997,2.71361,,2.78867,2.42042,2.42873,2.23157,2.26956,2.4843,2.26587
AT1G01880,,2.35372,2.16964,2.49997,2.71361,,2.78867,2.62212,2.42873,1.82687,2.06818,2.4843,1.69595
AT1G01900,,2.35372,2.16964,2.49997,2.71361,,2.78867,,2.42873,1.97084,2.26956,2.4843,1.69595
AT1G01910,,2.04127,2.67407,3.04098,2.5713,,2.78867,2.21872,2.06733,1.97084,2.63341,2.3046900000000003,2.12339
AT1G01920,1.85537,2.04127,2.67407,3.04098,2.41632,,2.78867,2.21872,2.66965,2.05775,2.63341,2.3046900000000003,1.83843
AT1G01930,2.31765,1.94934,2.14129,2.32545,2.56821,,3.18706,3.630630000000002,2.66965,2.23157,2.63341,2.45368,2.12339
AT1G01940,,2.04127,2.49647,2.65362,2.99824,,2.78867,2.01701,2.66965,2.23157,2.06818,2.39449,2.62208
AT1G01950,2.31765,1.94934,2.14129,2.32545,2.56821,,3.18706,3.630630000000002,2.66965,2.23157,2.63341,2.45368,2.12339
AT1G01960,2.31765,,2.49647,2.17794,2.71361,,1.99191,2.62212,2.5491900000000003,2.14466,2.26956,2.4843,1.90967
AT1G01970,2.31765,,2.49647,2.32545,2.71361,,3.18706,2.82382,2.5491900000000003,2.14466,2.26956,2.39449,2.14165
AT1G01980,2.0695,,2.85166,2.3335,2.71361,,2.78867,2.82382,2.42873,2.40539,2.06818,2.03528,2.20169
AT1G01990,,,2.67407,2.68322,2.28668,,2.39029,1.81531,2.1878,1.79702,2.3908400000000003,2.12509,2.19463
AT1G02000,2.00946,,2.85166,2.68322,2.28668,,2.78867,2.82382,2.42873,2.40539,2.3908400000000003,2.12509,2.20169
AT1G02010,2.2994,,2.67407,2.68322,2.28668,,2.62026,1.81531,2.1878,1.79702,2.65155,2.12509,2.19463
AT1G02020,1.85537,2.1332,2.31888,2.8621,2.99824,,2.78867,,2.66965,2.4923,2.99726,2.4843,2.19463
